Var1,countryiso
"1","AFG"
"2","AGO"
"3","ALB"
"4","ARG"
"5","ARM"
"6","ATG"
"7","AZE"
"8","BDI"
"9","BEN"
"10","BFA"
"11","BGD"
"12","BGR"
"13","BIH"
"14","BLR"
"15","BLZ"
"16","BOL"
"17","BRA"
"18","BTN"
"19","BWA"
"20","CAF"
"21","CHL"
"22","CHN"
"23","CIV"
"24","CMR"
"25","COD"
"26","COG"
"27","COL"
"28","COM"
"29","CPV"
"30","CRI"
"31","CUB"
"32","DJI"
"33","DMA"
"34","DOM"
"35","DZA"
"36","ECU"
"37","EGY"
"38","ERI"
"39","ETH"
"40","FJI"
"41","FSM"
"42","GAB"
"43","GEO"
"44","GHA"
"45","GIN"
"46","GMB"
"47","GNB"
"48","GNQ"
"49","GRD"
"50","GTM"
"51","GUY"
"52","HND"
"53","HTI"
"54","HUN"
"55","IDN"
"56","IND"
"57","IRN"
"58","IRQ"
"59","JAM"
"60","JOR"
"61","KAZ"
"62","KEN"
"63","KGZ"
"64","KHM"
"65","KIR"
"66","KSV"
"67","LAO"
"68","LBN"
"69","LBR"
"70","LBY"
"71","LCA"
"72","LKA"
"73","LSO"
"74","LTU"
"75","LVA"
"76","MAR"
"77","MDA"
"78","MDG"
"79","MDV"
"80","MEX"
"81","MHL"
"82","MKD"
"83","MLI"
"84","MMR"
"85","MNE"
"86","MNG"
"87","MOZ"
"88","MRT"
"89","MUS"
"90","MWI"
"91","MYS"
"92","NAM"
"93","NER"
"94","NGA"
"95","NIC"
"96","NPL"
"97","PAK"
"98","PAN"
"99","PER"
"100","PHL"
"101","PLW"
"102","PNG"
"103","PRK"
"104","PRY"
"105","PSE"
"106","ROU"
"107","RUS"
"108","RWA"
"109","SDN"
"110","SEN"
"111","SLB"
"112","SLE"
"113","SLV"
"114","SOM"
"115","SRB"
"116","SSD"
"117","STP"
"118","SUR"
"119","SWZ"
"120","SYC"
"121","SYR"
"122","TCD"
"123","TGO"
"124","THA"
"125","TJK"
"126","TKM"
"127","TLS"
"128","TON"
"129","TUN"
"130","TUR"
"131","TUV"
"132","TWN"
"133","TZA"
"134","UGA"
"135","UKR"
"136","URY"
"137","UZB"
"138","VCT"
"139","VEN"
"140","VNM"
"141","VUT"
"142","WSM"
"143","YEM"
"144","ZAF"
"145","ZMB"
"146","ZWE"
